num_threads,num_chains,num_samples,mean,std
1,1,10000,37.443735287299994,3.247395239188616
1,2,5000,21.3339498917,0.7873069872474039
1,4,2500,13.928837470999998,1.3076444534589127
1,8,1250,9.400881816600002,0.4718783283039664
2,1,10000,38.532002708200004,4.180730896768808
2,2,5000,39.649421933400006,28.2475166844613
2,4,2500,16.588303637499997,8.991383889703702
2,8,1250,28.4656866625,36.51212679088625
4,1,10000,77.04077405,34.5187730923039
4,2,5000,35.128834025,21.158626325376378
4,4,2500,156.43131407490003,337.9250930206772
4,8,1250,9.636447566700001,0.6015141222895405
8,1,10000,38.0130056626,4.293341024823034
8,2,5000,120.0548934293,286.0115471926112
8,4,2500,14.1169528165,0.8510930570908517
8,8,1250,12.192047191699999,1.0104270839957519
