num_threads,num_cpp_chains,num_chains,num_samples,min,median,max
1,1,1,10000,51.119916852,58.162824497,71.422760425
1,1,2,5000,31.059253413,33.4052346835,35.088976508
1,1,4,2500,21.41811333,23.8810409505,25.398890831
1,1,8,1250,17.027491242,18.851259317999997,19.189301991
1,2,1,5000,185.058027151,231.5444159285,265.310302197
1,2,2,2500,126.741055941,146.19913327900002,175.006683089
1,2,4,1250,111.924203252,119.5285889555,125.799986387
1,4,1,2500,241.189148378,254.952757262,268.198556408
1,4,2,1250,49.659036541,51.2445737515,52.464444789
1,8,1,1250,303.174695769,336.546969918,355.369868442
2,1,1,10000,53.77458682,63.5387362905,66.869931052
2,1,2,5000,107.270541941,121.162650515,130.852579182
2,1,4,2500,65.755727005,84.6560622665,103.532681619
2,1,8,1250,16.749224213,18.8501619305,20.134423198
2,2,1,5000,115.614248031,122.472192544,126.208706234
2,2,2,2500,65.473642843,91.46636975300001,112.913080495
2,2,4,1250,59.148881566,72.48268854,81.331592969
2,4,1,2500,38.157829311,41.229735645999995,43.216061476
2,4,2,1250,87.133171633,103.60682114,113.411955177
2,8,1,1250,171.855613003,176.1154056625,188.166814858
4,1,1,10000,59.008067682,61.4772426555,68.924696784
4,1,2,5000,34.380285741,35.6422969495,38.10881143
4,1,4,2500,23.160529953,24.2874803445,25.45499158
4,1,8,1250,18.241637946,19.063014042,19.876827117
4,2,1,5000,124.924943091,127.1312377915,156.344550954
4,2,2,2500,23.517716182,25.7059567355,27.065101277
4,2,4,1250,17.340970716,18.242756677499997,18.614621392
4,4,1,2500,19.484408788,23.4999930455,24.719125816
4,4,2,1250,18.269868097,19.2160787175,20.930365944
4,8,1,1250,30.004710784,32.0539586335,32.716875431
8,1,1,10000,48.624454221,60.287936244,71.43341221
8,1,2,5000,29.169538256,37.275339983,39.269582926
8,1,4,2500,23.394114166,24.003595061,25.819504498
8,1,8,1250,16.634724446,18.096699139000002,18.652501446
8,2,1,5000,29.186582897,34.2222316485,40.841002699
8,2,2,2500,22.606721225,24.3131503745,27.678686813
8,2,4,1250,18.002175393,18.917586974499997,20.044010267
8,4,1,2500,23.108523188,24.960598288,25.727860793
8,4,2,1250,17.460342171,18.986605105499997,19.935337156
8,8,1,1250,18.399574059,19.5348864395,20.608168793
